実施 する 	 じっし する
集まら ず 	 あつまら ず
至ら なかっ 	 いたら なかっ
漕ぎ付け た 	 こぎつけ た
着工 する 	 ちゃっこう する
決定 さ れ 	 けってい さ れ
着工 さ れ た 	 ちゃっこう さ れ た
低下 し 	 ていか し
鳴動 	 めいどう
そそのかさ れ 	 そそのかさ れ
共鳴 し 	 きょうめい し
立っ て 	 たっ て
行動 	 こうどう
逃がし た 	 にがし た
打倒 	 だとう
練る 	 ねる
問わ れ 	 とわ れ
立ち寄っ た 	 たちよっ た
特筆 する 	 とくひつ する
恐れる 	 おそれる
合体 する 	 がったい する
演じ た 	 えんじ た
酔い潰れる 	 よいつぶれる
出現 し て 	 しゅつげん し て
持って行く 	 もっていく
仕上げ て 	 しあげ て
化粧 	 けしょう
利用 できる よう 	 りよう できる よう
後退 し た 	 こうたい し た
吐露 し た 	 とろ し た
祝っ て 	 いわっ て
がんばる 	 がんばる
表示 し て 	 ひょうじ し て
降り やすい 	 ふり やすい
眺め 	 ながめ
入り まし た 	 はいり まし た
収め られ て 	 おさめ られ て
回復 し 	 かいふく し
健闘 し た 	 けんとう し た
逃す 	 のがす
行ける 	 いける
体験 し ましょ う 	 たいけん し ましょ う
進駐 し た 	 しんちゅう し た
失わ れ て 	 うしなわ れ て
発足 	 ほっそく
提案 する 	 ていあん する
隆起 し た 	 りゅうき し た
省略 さ れ て 	 しょうりゃく さ れ て
命中 さ せる 	 めいちゅう さ せる
承認 さ れ て 	 しょうにん さ れ て
広告 する 	 こうこく する
禁止 し て 	 きんし し て
保存 	 ほぞん
馳せ て 	 はせ て
取り込む 	 とりこむ
見せつけ られ ます 	 みせつけ られ ます
避け られる べき 	 さけ られる べき
指揮 せ ざるをえ ない 	 しき せ ざるをえ ない
成長 し て 	 せいちょう し て
歴任 	 れきにん
判明 	 はんめい
占う 	 うらなう
拡大 し て 	 かくだい し て
即し て 	 そくし て
常任 し て 	 じょうにん し て
建造 さ れ て 	 けんぞう さ れ て
チェック し たら 	 ちぇっく し たら
収納 する 	 しゅうのう する
乗り越え た 	 のりこえ た
つかえる 	 つかえる
萌え 	 もえ
点在 し て 	 てんざい し て
伝えし ましょ う 	 つたえし ましょ う
削除 し ない 	 さくじょ し ない
思え なかっ た 	 おもえ なかっ た
分裂 し た 	 ぶんれつ し た
笑わ ない 	 わらわ ない
相まっ て 	 あいまっ て
取り上げ られ て 	 とりあげ られ て
わかれ 	 わかれ
思い出す 	 おもいだす
エロス 	 えろす
思い浮かば なく なっ て 	 おもいうかば なく なっ て
予想 さ れ て 	 よそう さ れ て
開催 する 	 かいさい する
い 	 い
いる そうで 	 いる そうで
ケア し て 	 けあ し て
建設 し た 	 けんせつ し た
長期化 し 	 ちょうきか し
化 し た 	 か し た
交際 し て 	 こうさい し て
身ごもっ た 	 みごもっ た
判明 する 	 はんめい する
捨て た 	 すて た
出産 	 しゅっさん
レンダリング し て 	 れんだりんぐ し て
故障 する 	 こしょう する
報告 さ れ て 	 ほうこく さ れ て
表示 さ れ た 	 ひょうじ さ れ た
調整 し た 	 ちょうせい し た
予想 する 	 よそう する
報告 	 ほうこく
分かり にくい 	 わかり にくい
ほっこりする 	 ほっこりする
切り替える 	 きりかえる
仕える 	 つかえる
批判 する 	 ひはん する
投稿 し て 	 とうこう し て
題し た 	 だいし た
飛び出す 	 とびだす
対抗 し 	 たいこう し
擁立 し た 	 ようりつ し た
当たる 	 あたる
議論 し 	 ぎろん し
違う かもしれ ませ ん 	 ちがう かもしれ ませ ん
成立 し た 	 せいりつ し た
付属 し た 	 ふぞく し た
堪ら ない です 	 たまら ない です
出 ない 	 で ない
祈っ て 	 いのっ て
駆けつけ 	 かけつけ
飛び降り よう 	 とびおり よう
思いとどまる よう 	 おもいとどまる よう
説得 し た 	 せっとく し た
閉めろ 	 しめろ
拒絶 	 きょぜつ
考慮 し 	 こうりょ し
集計 し た 	 しゅうけい し た
破棄 する 	 はき する
代行 さ せ て 	 だいこう さ せ て
寄付 	 きふ
捏造 し た 	 ねつぞう し た
持ち上がっ た 	 もちあがっ た
連行 さ れ た 	 れんこう さ れ た
連絡 し 	 れんらく し
仰い だ 	 あおい だ
向上 し て 	 こうじょう し て
撮影 できる 	 さつえい できる
貯蔵 する 	 ちょぞう する
処理 し て 	 しょり し て
考案 さ れ て 	 こうあん さ れ て
普及 する ように なっ た 	 ふきゅう する ように なっ た
延びる 	 のびる
生い茂る 	 おいしげる
かき分け て 	 かきわけ て
弁明 する 	 べんめい する
流通 し て 	 りゅうつう し て
薦め です 	 すすめ です
背負っ た 	 せおっ た
一見 すれ 	 いっけん すれ
ガード する 	 がーど する
居 て 	 い て
入れ ない 	 いれ ない
入る よう 	 はいる よう
勧め た 	 すすめ た
配布 し た 	 はいふ し た
設計 さ れ た 	 せっけい さ れ た
取りかかっ て 	 とりかかっ て
立ち上がら なかっ た 	 たちあがら なかっ た
回答 	 かいとう
辞職 す べき 	 じしょく す べき
のぼっ て 	 のぼっ て
受け継ぐ 	 うけつぐ
貫通 し ない 	 かんつう し ない
倒せ 	 たおせ
進入 し 	 しんにゅう し
捜す 	 さがす
完了 し 	 かんりょう し
そろっ た 	 そろっ た
取れ 	 とれ
透き通っ て 	 すきとおっ て
刻み 	 きざみ
吸っ て 	 すっ て
きかせ た 	 きかせ た
集結 し た 	 しゅうけつ し た
勝ち抜き 	 かちぬき
奪わ れ そうに なっ て 	 うばわ れ そうに なっ て
殺害 し 	 さつがい し
服役 	 ふくえき
行わ ず 	 おこなわ ず
取り込ま れ た 	 とりこま れ た
聞き たく て 	 きき たく て
拡大 し 	 かくだい し
推進 さ れ て 	 すいしん さ れ て
読み上げ られ た 	 よみあげ られ た
要約 する 	 ようやく する
対処 する 	 たいしょ する
さめ 	 さめ
切り替え た 	 きりかえ た
変え て 	 かえ て
採用 する 	 さいよう する
安売り さ れ て 	 やすうり さ れ て
奪わ れ 	 うばわ れ
付く 	 つく
強化 する 	 きょうか する
下げ た 	 さげ た
おき し て 	 おき し て
冷め て 	 さめ て
狙い 	 ねらい
へ ん 	 へ ん
すん 	 すん
保護 し た 	 ほご し た
曲解 さ れる 	 きょっかい さ れる
発展 し 	 はってん し
駆使 し た 	 くし し た
転出 し 	 てんしゅつ し
裏付ける ように 	 うらづける ように
落選 	 らくせん
憎ん 	 にくん
強打 し て 	 きょうだ し て
侵略 し た 	 しんりゃく し た
反論 し て 	 はんろん し て
取れ ない 	 とれ ない
区分 する 	 くぶん する
要請 さ れる 	 ようせい さ れる
後述 する 	 こうじゅつ する
生ずる 	 しょうずる
全通 し て 	 ぜんつう し て
開通 し た 	 かいつう し た
要する 	 ようする
いえ ない 	 いえ ない
近付い た 	 ちかづい た
乗り入れ て 	 のりいれ て
表記 さ れる 	 ひょうき さ れる
従っ た 	 したがっ た
出場 し て 	 しゅつじょう し て
釣っ た 	 つっ た
贈ら れ 	 おくら れ
対戦 する 	 たいせん する
訪ね て 	 たずね て
刷り込み 	 すりこみ
終わっ ちゃう 	 おわっ ちゃう
撃ち 出さ れる 	 うち ださ れる
在住 する 	 ざいじゅう する
使用 さ せ て 	 しよう さ せ て
飛ぶ 	 とぶ
継続 さ れる 	 けいぞく さ れる
知り 	 ちり
入れ 	 いれ
捨て て 	 すて て
いき まし て 	 いき まし て
回顧 し て 	 かいこ し て
昇進 	 しょうしん
知ら れる ように なる 	 しら れる ように なる
陥没 する 	 かんぼつ する
押し込め られ た 	 おしこめ られ た
冷やかし て 	 ひややかし て
言っ た 	 いっ た
見つかり ませ ん でした 	 みつかり ませ ん でした
消え行く 	 きえいく
撮り 続け た 	 とり つづけ た
読書 し 	 どくしょ し
まったりする 	 まったりする
癒し 	 いやし
感じ ます 	 かんじ ます
列し て 	 れつし て
入部 	 にゅうぶ
巻き込ま れ 	 まきこま れ
消滅 し た 	 しょうめつ し た
わかっ 	 わかっ
オープン 	 おーぷん
探究 し て 	 たんきゅう し て
要請 さ れ た 	 ようせい さ れ た
登壇 し た 	 とうだん し た
たたえ 	 たたえ
創設 	 そうせつ
届き ませ ん でした 	 とどき ませ ん でした
かけ られ た 	 かけ られ た
解く 	 とく
出版 し た 	 しゅっぱん し た
示唆 し 	 しさ し
置換 し て 	 ちかん し て
面し て 	 めんし て
鎮座 し 	 ちんざ し
飛来 し た 	 ひらい し た
輝 ける 	 てる ける
舞い込む 	 まいこむ
実現 し まし た 	 じつげん し まし た
退位 し た 	 たいい し た
在籍 し た 	 ざいせき し た
逃れ て 	 のがれ て
非難 する 	 ひなん する
転戦 し て 	 てんせん し て
対戦 	 たいせん
ブロー し なく て 	 ぶろー し なく て
スッキリ 	 すっきり
整え られる ように なり まし た 	 ととのえ られる ように なり まし た
患っ たら 	 わずらっ たら
診 て 	 み て
乗り たい 	 のり たい
執筆 	 しっぴつ
決まら ない 	 きまら ない
断ち切ろ う 	 たちきろ う
取ろ う 	 とろ う
もん だ 	 もん だ
こだわり 	 こだわり
下げ 	 さげ
届く 	 とどく
外 せ ない 	 はず せ ない
恐れ 	 おそれ
走り 	 はしり
期待 さ れ た 	 きたい さ れ た
安定 し た 	 あんてい し た
挙げ られ ず 	 あげ られ ず
登録 	 とうろく
決意 し 	 けつい し
渡っ た 	 わたっ た
突き刺し て 	 つきさし て
放出 する 	 ほうしゅつ する
読み込ま れ た 	 よみこま れ た
移動 できる 	 いどう できる
妥協 し て 	 だきょう し て
深め 	 ふかめ
築い て 	 きずい て
保障 さ れ て 	 ほしょう さ れ て
繋がり 	 つながり
分かり やすく て 	 わかり やすく て
楽になっ た 	 らくになっ た
結婚 し て 	 けっこん し て
恵まれる 	 めぐまれる
擬人化 する 	 ぎじんか する
大人び て 	 おとなび て
浸透 し て 	 しんとう し て
焼か れ た 	 やか れ た
食べ られ ます 	 たべ られ ます
根ざし た 	 ねざし た
活用 さ れる 	 かつよう さ れる
寄る 	 よる
上告 し て 	 じょうこく し て
こと でき ない 	 こと でき ない
関与 する 	 かんよ する
経由 し て 	 けいゆ し て
広める 	 ひろめる
協力 	 きょうりょく
みえる 	 みえる
紛れ込み 	 まぎれこみ
呼び ます 	 よび ます
出席 し て 	 しゅっせき し て
行ない 	 おこない
押し上げる 	 おしあげる
足る 	 あしる
持ち うる 	 もち うる
再現 でき ない 	 さいげん でき ない
訊い た 	 きい た
ふるえ 始め まし た 	 ふるえ はじめ まし た
入団 し た 	 にゅうだん し た
飛び出し 	 とびだし
励まし 	 はげまし
発車 し て 	 はっしゃ し て
変化 さ せ た 	 へんか さ せ た
逃げ 切っ て 	 にげ きっ て
企画 さ れ て 	 きかく さ れ て
優先 し て 	 ゆうせん し て
改編 さ れる 	 かいへん さ れる
昇格 し た 	 しょうかく し た
使え ない 	 つかえ ない
旅 し た 	 たび し た
締め 	 しめ
建造 さ れ 	 けんぞう さ れ
重視 し 	 じゅうし し
セッティング し やすい 	 せってぃんぐ し やすい
凌ぐ 	 りょうぐ
見 られ ます 	 み られ ます
創ら れ た 	 はじめら れ た
執っ た 	 とっ た
閉店 し て 	 へいてん し て
カウント し た 	 かうんと し た
持ち出し た 	 もちだし た
着か なかっ た 	 きか なかっ た
なら なかっ た 	 なら なかっ た
考えれ 	 かんがえれ
勧める ように 	 すすめる ように
出 直す 	 で なおす
選び まし た 	 えらび まし た
通じ ない 	 つうじ ない
齧っ て 	 かじっ て
目の当たりにし て 	 めのあたりにし て
揺さぶら れ て 	 ゆさぶら れ て
利用 し ませ ん 	 りよう し ませ ん
脱出 する 	 だっしゅつ する
抱き締め て 	 だきしめ て
生み出し た 	 うみだし た
始まり 	 はじまり
運び出す 	 はこびだす
撤去 する 	 てっきょ する
動き回る 	 うごきまわる
配属 さ れ て 	 はいぞく さ れ て
感じる ように なり 	 かんじる ように なり
確信 する 	 かくしん する
至り まし た 	 いたり まし た
慣れ て 	 なれ て
とれ まし た 	 とれ まし た
生産 し た 	 せいさん し た
裁判 	 さいばん
向い た 	 むい た
乗る 	 のる
取り付か れ 	 とりつか れ
終わる 	 おわる
対応 出来 ます 	 たいおう でき ます
準備 する 	 じゅんび する
聞かせ て 	 きかせ て
やめ ない 	 やめ ない
頑張ろ う 	 がんばろ う
扱い さ れ 	 あつかい さ れ
与え られ た 	 あたえ られ た
通告 し た 	 つうこく し た
題し て 	 だいし て
致し かね ます 	 いたし かね ます
問わ れ て 	 とわ れ て
選抜 さ れ た 	 せんばつ さ れ た
やら なかっ た 	 やら なかっ た
評 し て 	 ひょう し て
嘲笑 さ れ て 	 ちょうしょう さ れ て
賛成 し た 	 さんせい し た
プレー し た 	 ぷれー し た
開閉 さ せる 	 かいへい さ せる
任せ で 	 まかせ で
描か れる 	 えがか れる
すぐれ た 	 すぐれ た
あわせ 	 あわせ
すぐれ て 	 すぐれ て
転身 し た 	 てんしん し た
課さ れる 	 かさ れる
使え なく なり 	 つかえ なく なり
出来 なく なっ た 	 でき なく なっ た
就職 	 しゅうしょく
募集 し 	 ぼしゅう し
実行 さ れ た 	 じっこう さ れ た
生ん だ 	 うん だ
推薦 いたし ます 	 すいせん いたし ます
疑わ れ て 	 うたがわ れ て
呼ぶ べき 	 よぶ べき
怒ら ない 	 おこら ない
侵略 する 	 しんりゃく する
託さ れ て 	 たくさ れ て
径 て 	 けい て
デビュー する 	 でびゅー する
同意 し て 	 どうい し て
かなわ ない 	 かなわ ない
放映 さ れ た 	 ほうえい さ れ た
出入り し て 	 でいり し て
推測 さ れる 	 すいそく さ れる
匍匐 し 	 ほふく し
沿う 	 そう
永眠 する 	 えいみん する
旅行 し て 	 りょこう し て
言え ない 	 いえ ない
打 て ない 	 う て ない
包ま れ 	 つつま れ
くめ 	 くめ
戦っ た 	 せんっ た
申し ます 	 もうし ます
オープン さ せ て 	 おーぷん さ せ て
許さ ず 	 ゆるさ ず
刻ま れ た 	 きざま れ た
称さ れ て 	 しょうさ れ て
踏襲 し て 	 とうしゅう し て
呼ば れ 	 よば れ
乱立 し て 	 らんりつ し て
統一 す べく 	 とういつ す べく
策定 さ れ た 	 さくてい さ れ た
し たかっ た 	 し たかっ た
製作 し て 	 せいさく し て
書か ない 	 かか ない
調印 する 	 ちょういん する
拒否 し 	 きょひ し
引き上げ た 	 ひきあげ た
覆っ た 	 おおっ た
疑い まし た 	 うたがい まし た
解放 さ れ た 	 かいほう さ れ た
鎮圧 し た 	 ちんあつ し た
任命 さ れ た 	 にんめい さ れ た
称える 	 たたえる
勘違い さ れる 	 かんちがい さ れる
合成 し て 	 ごうせい し て
き 出す 	 き だす
楽にな れ ます 	 らくに なれ ます
フィードバック さ れる 	 ふぃーどばっく さ れる
同棲 し 	 どうせい し
身籠る 	 みごもる
入籍 し ない 	 にゅうせき し ない
やら ね 	 やら ね
施さ れ 	 ほどこさ れ
行 える ように なっ た 	 おこな える ように なっ た
否認 し た 	 ひにん し た
射殺 し た 	 しゃさつ し た
供述 し た 	 きょうじゅつ し た
起訴 し た 	 きそ し た
散っ て 	 ちっ て
プレー 出来 なかっ た 	 ぷれー でき なかっ た
叩か れ て 	 たたか れ て
舗装 し て 	 ほそう し て
くむ 	 くむ
ある みたい です 	 ある みたい です
転換 する 	 てんかん する
表示 する ように し たい 	 ひょうじ する ように し たい
募っ た 	 つのっ た
活用 し 	 かつよう し
連携 さ せる 	 れんけい さ せる
体験 出来 ない 	 たいけん でき ない
体験 し て 	 たいけん し て
継が せ て 	 つが せ て
溢れ た 	 あふれ た
顔 し て 	 かお し て
申し入れ まし た 	 もうしいれ まし た
開局 し た 	 かいきょく し た
返還 さ れ た 	 へんかん さ れ た
割り当て られ た 	 わりあて られ た
納車 さ れる 	 のうしゃ さ れる
だし て 	 だし て
転向 し た 	 てんこう し た
捉え 	 とらえ
判る 	 わかる
過ぎる 	 すぎる
のび 	 のび
呆れ させ て 	 あきれ させ て
殴ら れ た 	 なぐら れ た
改造 	 かいぞう
再生 し た 	 さいせい し た
信じ て 	 しんじ て
仕上がっ て 	 しあがっ て
与え ます 	 あたえ ます
受け なく なる 	 うけ なく なる
保た れ て 	 たもた れ て
次い 	 つい
利用 し よう 	 りよう し よう
頂い て 	 いただい て
酸化 し て 	 さんか し て
増殖 し て 	 ぞうしょく し て
撮 れ た 	 と れ た
リフレッシュ できる 	 りふれっしゅ できる
通っ 	 つうっ
連覇 し 	 れんぱ し
報い た 	 むくい た
投下 し 	 とうか し
視察 し た 	 しさつ し た
仕組ん だ 	 しくん だ
睨まれ た 	 にらまれ た
上演 	 じょうえん
飛ばさ れる ように なり 	 とばさ れる ように なり
わから なく なる 	 わから なく なる
援助 し よう 	 えんじょ し よう
鋳造 する 	 ちゅうぞう する
得 よう 	 え よう
加われ 	 くわわれ
避け られ ない 	 さけ られ ない
懸念 する 	 けねん する
会っ て 	 あっ て
食っ て 	 くっ て
食っ た 	 くっ た
思い出し て 	 おもいだし て
くぐる 	 くぐる
出塁 し た 	 しゅつるい し た
転倒 	 てんとう
進入 する 	 しんにゅう する
兼ね て 	 かね て
引き返し 	 ひきかえし
包囲 し 	 ほうい し
持ちこたえる 	 もちこたえる
届け られる 	 とどけ られる
立ち寄っ て 	 たちよっ て
移動 し 	 いどう し
確立 し た 	 かくりつ し た
築き 	 きずき
こうじ て 	 こうじ て
浮かん 	 うかん
受診 さ せ られ 	 じゅしん さ せ られ
やめ ざるをえ なかっ た 	 やめ ざるをえ なかっ た
審議 する 	 しんぎ する
定める 	 さだめる
送っ たら 	 おくっ たら
喜ぶ 	 よろこぶ
弱め て 	 よわめ て
相俟っ て 	 そうまつっ て
期待 し 得る 	 きたい し うる
義務付け られ て 	 ぎむづけ られ て
認め られ ない 	 みとめ られ ない
言っ たら 	 いっ たら
あふれ た 	 あふれ た
出迎え て 	 でむかえ て
あわせ た 	 あわせ た
まとまり 	 まとまり
出発 し 	 しゅっぱつ し
運行 さ れる 	 うんこう さ れる
応募 できる 	 おうぼ できる
応募 する 	 おうぼ する
反映 さ せる 	 はんえい さ せる
整理 さ れ 	 せいり さ れ
従事 し た 	 じゅうじ し た
役に立つ 	 やくにたつ
異なる ようだ 	 ことなる ようだ
面談 し た 	 めんだん し た
採用 でき ない 	 さいよう でき ない
見 られ 	 み られ
介入 する 	 かいにゅう する
即位 し た 	 そくい し た
擁立 し 	 ようりつ し
廃位 し て 	 はいい し て
開き 	 ひらき
反省 し 	 はんせい し
謝罪 し た 	 しゃざい し た
アップ さ れ て 	 あっぷ さ れ て
ご覧頂 け ます 	 ごらん いただけ ます
取得 する 	 しゅとく する
逃亡 	 とうぼう
意識 し 	 いしき し
行わ れ ます 	 おこなわ れ ます
拭い て 	 ふい て
目撃 し て 	 もくげき し て
おり 	 おり
回避 する 	 かいひ する
衰退 し 	 すいたい し
注文 し た 	 ちゅうもん し た
経過 し た 	 けいか し た
繰り出し て 	 くりだし て
発見 さ れ て 	 はっけん さ れ て
し た らしい 	 し た らしい
任命 し て 	 にんめい し て
閉会 し た 	 へいかい し た
確認 でき ます 	 かくにん でき ます
故障 し た 	 こしょう し た
建て られる 	 たて られる
捉える 	 とらえる
動員 さ れ た 	 どういん さ れ た
切ら せ て 	 きら せ て
策定 し 	 さくてい し
つなげ たい 	 つなげ たい
襲撃 	 しゅうげき
にぎわ せ て 	 にぎわ せ て
和ま せ なけれ 	 わま せ なけれ
魅かれ ます 	 ひかれ ます
発信 する 	 はっしん する
強化 し 	 きょうか し
掌握 し よう 	 しょうあく し よう
接触 する 	 せっしょく する
中断 さ れる 	 ちゅうだん さ れる
利用 し たい 	 りよう し たい
摘発 し ない 	 てきはつ し ない
契約 する 	 けいやく する
目撃 し た 	 もくげき し た
分かり ませ ん でした 	 わかり ませ ん でした
飲み すぎ て 	 のみ すぎ て
批判 し て 	 ひはん し て
訴え 続け て 	 うったえ つづけ て
闘っ て 	 たたかっ て
使わ せ て 	 つかわ せ て
依頼 し た 	 いらい し た
断ら れ た 	 ことわら れ た
作ら せ た 	 つくら せ た
なくなら ない 	 なくなら ない
生む 	 うむ
案じ て 	 あんじ て
利か ない 	 きか ない
周回 する 	 しゅうかい する
憩 える 	 けい える
ぬっ て 	 ぬっ て
矯正 し て 	 きょうせい し て
提出 する 	 ていしゅつ する
考案 さ れ 	 こうあん さ れ
用い られ て 	 もちい られ て
浴び て 	 あび て
守ろ う 	 まもろ う
そろっ て 	 そろっ て
採用 さ れ まし た 	 さいよう さ れ まし た
攻略 し 	 こうりゃく し
交戦 し た 	 こうせん し た
包囲 し て 	 ほうい し て
よぶ 	 よぶ
扱う べき 	 あつかう べき
想い 	 おもい
出 	 で
過ご せる 	 すご せる
独立 し 	 どくりつ し
勝ち進ん だ 	 かちすすん だ
切る 	 きる
折り し 	 おり し
揺れる 	 ゆれる
待ち望ん 	 まちのぞん
欠かさ ない 	 かかさ ない
列挙 する 	 れっきょ する
犯す 	 おかす
信用 し たい 	 しんよう し たい
疑っ て 	 うたがっ て
値上げ し た みたい 	 ねあげ し た みたい
前借り する 	 まえがり する
呼び寄せる 	 よびよせる
譲っ て 	 ゆずっ て
手に入れる 	 てにいれる
乗っ た 	 のっ た
忘れ られ ない 	 わすれ られ ない
薦め たい 	 すすめ たい
被せ られ た 	 かぶせ られ た
経験 する 	 けいけん する
拘束 さ れ て 	 こうそく さ れ て
遅れる 	 おくれる
山積み 	 やまづみ
行き たく ない 	 いき たく ない
乗り越え て 	 のりこえ て
就職 し た 	 しゅうしょく し た
従軍 し た 	 じゅうぐん し た
落ちる 	 おちる
読める 	 よめる
凝らし 	 こらし
惹か れ 	 ひか れ
望む ように なる 	 のぞむ ように なる
在籍 	 ざいせき
つ け た 	 つ け た
払い 	 ばらい
落とし た 	 おとし た
な れ そう です 	 な れ そう です
備え た 	 そなえ た
発進 できる ように 	 はっしん できる ように
発注 し た 	 はっちゅう し た
施行 さ れ て 	 しこう さ れ て
握 れ て 	 にぎ れ て
喪失 さ せる 	 そうしつ さ せる
監督 さ れ た 	 かんとく さ れ た
推定 さ れ て 	 すいてい さ れ て
はね られ た 	 はね られ た
引きずら れ た 	 ひきずら れ た
返さ れる 	 かえさ れる
読み取る 	 よみとる
入力 し て 	 にゅうりょく し て
絶っ た 	 たっ た
成り済まし 	 なりすまし
徴収 さ れ た 	 ちょうしゅう さ れ た
復活 さ れ た 	 ふっかつ さ れ た
設定 さ れ 	 せってい さ れ
積ま れ た 	 つま れ た
み たい 	 み たい
展開 さ れ て 	 てんかい さ れ て
はぜ ん 	 はぜ ん
貢献 	 こうけん
笑わせ よう 	 わらわせ よう
断りし た 	 ことわりし た
共演 し た 	 きょうえん し た
解体 	 かいたい
締め括ら れる 	 しめくくら れる
支払い 	 しはらい
釈放 	 しゃくほう
選ば れ た 	 えらば れ た
手がける 	 てがける
弱まり 	 よわまり
育て られ 	 そだて られ
自作 し て 	 じさく し て
作り上げる 	 つくりあげる
でき なかっ た ような 	 でき なかっ た ような
区分 さ れ て 	 くぶん さ れ て
許諾 し た 	 きょだく し た
撮影 でき まし た 	 さつえい でき まし た
特攻 する 	 とっこう する
留学 	 りゅうがく
売り 	 うり
持ち帰っ た 	 もちかえっ た
面会 し 	 めんかい し
発する 	 はつする
侵攻 し た 	 しんこう し た
追放 さ れ 	 ついほう さ れ
没収 さ れ た 	 ぼっしゅう さ れ た
献金 する 	 けんきん する
いぶかる 	 いぶかる
縦断 する 	 じゅうだん する
判断 	 はんだん
低下 し た 	 ていか し た
指揮 し た 	 しき し た
みとめ られる 	 みとめ られる
逃がす 	 にがす
立ち塞がっ た 	 たちふさがっ た
感得 し た 	 かんとく し た
思わ せる ような 	 おもわ せる ような
漂っ て 	 ただよっ て
説明 し ます 	 せつめい し ます
培っ て 	 つちかっ て
入場 できる 	 にゅうじょう できる
加入 する 	 かにゅう する
警戒 さ れ て 	 けいかい さ れ て
搭載 さ れる 	 とうさい さ れる
確保 する 	 かくほ する
呪い 	 のろい
予言 する 	 よげん する
歌っ て 	 うたっ て
保有 し て 	 ほゆう し て
密着 し た 	 みっちゃく し た
みせ て 	 みせ て
扱い する 	 あつかい する
投稿 し た 	 とうこう し た
模倣 さ れ て 	 もほう さ れ て
引き上げ て 	 ひきあげ て
改め られ た 	 あらため られ た
変わら なかっ た 	 かわら なかっ た
もて まし た 	 もて まし た
挑戦 できる 	 ちょうせん できる
怖れ 	 おそれ
すっ 	 すっ
叩き 	 たたき
うかがう 	 うかがう
検索 さ れる 	 けんさく さ れる
言わ れ ます 	 いわ れ ます
納まる 	 おさまる
顔見知り 	 かおみしり
落下 	 らっか
襲っ た 	 おそっ た
行き 直し て 	 い きなおし て
積み 	 つみ
葬り 	 ほうむり
隆起 し て 	 りゅうき し て
なっ た らしい 	 なっ た らしい
流入 し て 	 りゅうにゅう し て
抜く 	 ぬく
抜け 出し 	 ぬけ だし
差し切っ て 	 さしきっ て
あげ た 	 あげ た
チャレンジ し た 	 ちゃれんじ し た
実現 し たら 	 じつげん し たら
管理 さ せる 	 かんり さ せる
送り 	 おくり
催促 し まし た 	 さいそく し まし た
重ね 合う 	 かさ ねあう
追いつか れ 	 おいつか れ
繋い 	 つない
起始 し 	 おきし し
抱き こむ ように 	 だき こむ ように
走っ て 	 はしっ て
広がっ て 	 ひろがっ て
パワーアップ する 	 ぱわーあっぷ する
聴こえる 	 きこえる
激化 し ます 	 げきか し ます
沈静化 し た 	 ちんせいか し た
取り付け て 	 とりつけ て
探っ て 	 さぐっ て
告げ ましょ う 	 つげ ましょ う
敬愛 し 	 けいあい し
構え て 	 かまえ て
撤回 さ せ て 	 てっかい さ せ て
強め て 	 つよめ て
取立て 	 とりたて
直訴 し た 	 じきそ し た
潰さ れ た 	 つぶさ れ た
留まら なかっ た 	 とまら なかっ た
提供 し た 	 ていきょう し た
感じ れ まし た 	 かんじ れ まし た
届け られ た 	 とどけ られ た
削っ た 	 けずっ た
下がり まし た 	 さがり まし た
到着 し 	 とうちゃく し
表明 し 	 ひょうめい し
さしあたっ て 	 さしあたっ て
信用 する 	 しんよう する
擁し 	 ようし
優勝 する 	 ゆうしょう する
い なけれ 	 い なけれ
達成 でき ない 	 たっせい でき ない
購入 	 こうにゅう
消費 さ れ た 	 しょうひ さ れ た
計る 	 けいる
再選 さ れ た 	 さいせん さ れ た
比べ たら 	 くらべ たら
噛む 	 かむ
結び付け て 	 むすびつけ て
解釈 し て 	 かいしゃく し て
救っ た 	 すくっ た
受賞 さ れる 	 じゅしょう さ れる
辞退 し た 	 じたい し た
異なり ます 	 ことなり ます
干し て 	 ほし て
予定 	 よてい
癒さ れ ます 	 いやさ れ ます
打ち上げ られ 	 うちあげ られ
招聘 さ れ て 	 しょうへい さ れ て
着任 	 ちゃくにん
性交 する だろ う 	 せいこう する だろ う
勧誘 でき ない 	 かんゆう でき ない
脱会 し た よう です 	 だっかい し た よう です
くる 	 くる
催さ ん 	 もよお さん
翻訳 し た 	 ほんやく し た
辞める 	 やめる
達成 し て 	 たっせい し て
出資 し た 	 しゅっし し た
触れ られ て 	 ふれ られ て
かかわっ た 	 かかわっ た
とろ う 	 とろ う
授かろ う 	 さずかろ う
購入 出来 なかっ た 	 こうにゅう でき なかっ た
付け 	 つけ
直ら なかっ た 	 なおら なかっ た
増え まし た 	 ふえ まし た
組 まさ れ 	 く まさ れ
与え られ ない 	 あたえ られ ない
引き締め 	 ひきしめ
請求 する ような 	 せいきゅう する ような
とら ず 	 とら ず
挑発 する 	 ちょうはつ する
進軍 	 しんぐん
布告 し た 	 ふこく し た
連想 する 	 れんそう する
統治 し た 	 とうち し た
踏襲 する 	 とうしゅう する
編纂 し た 	 へんさん し た
当て た 	 あて た
喜ば れ まし た 	 よろこば れ まし た
貸し付け られ て 	 かしつけ られ て
追及 する 	 ついきゅう する
奪 え なかっ た 	 うば え なかっ た
防御 し た 	 ぼうぎょ し た
入館 する 	 にゅうかん する
入れ ます 	 いれ ます
